domain,obs_pct,n,accuracy,spread,q,q_paper,p_true
block-words,10,40,0.0750,12.8250,0.0074,1.0000,0.0701
block-words,30,40,0.2250,6.6250,0.0859,1.0000,0.1447
block-words,50,40,0.3500,4.7500,0.1559,1.0000,0.2180
block-words,70,40,0.6000,2.3500,0.4688,1.0000,0.4385
block-words,100,40,0.8000,1.4000,0.7750,1.0000,0.7805
campus,10,100,1.0000,1.0400,0.9800,1.0000,0.7892
campus,30,100,1.0000,1.0000,1.0000,1.0000,0.9137
campus,50,100,1.0000,1.0000,1.0000,1.0000,0.9833
campus,70,100,1.0000,1.0000,1.0000,1.0000,0.9973
campus,100,100,1.0000,1.0000,1.0000,1.0000,0.9994
grid,10,21,0.6667,2.0000,0.4524,1.0000,0.4821
grid,30,21,0.6667,1.9524,0.4524,1.0000,0.5549
grid,50,21,0.7143,1.8095,0.5317,1.0000,0.6117
grid,70,21,0.7143,1.7143,0.5556,1.0000,0.6844
grid,100,21,0.8095,1.5238,0.6984,1.0000,0.7655
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0000,0.1659
intrusion-detection,30,30,0.7000,1.8333,0.6000,1.0000,0.4784
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0000,0.7585
intrusion-detection,70,30,1.0000,1.0000,1.0000,1.0000,0.9028
intrusion-detection,100,30,1.0000,1.0000,1.0000,1.0000,0.9952
kitchen,10,150,0.3333,2.0000,0.3333,1.0000,0.4439
kitchen,30,150,1.0000,1.3333,0.8333,1.0000,0.6617
kitchen,50,150,1.0000,1.0000,1.0000,1.0000,0.8173
kitchen,70,150,1.0000,1.0000,1.0000,1.0000,0.8769
kitchen,100,150,1.0000,1.0000,1.0000,1.0000,0.9468
logistics,10,36,0.5833,2.1667,0.4606,1.0000,0.3118
logistics,30,36,0.8889,1.2778,0.8056,1.0000,0.6745
logistics,50,36,0.8889,1.2778,0.8056,1.0000,0.7997
logistics,70,36,0.8889,1.2222,0.8333,1.0000,0.8674
logistics,100,36,1.0000,1.0000,1.0000,1.0000,0.9888
